file,candidate_source,note_index,pitch,ioi_from_prev_ticks,ioi_from_prev_sec,velocity,duration_ticks,duration_sec,onset_tick,onset_sec,next_ioi_ticks,next_ioi_sec,pedal1,pedal1_sample_tick,pedal1_sample_time_sec,pedal2,pedal2_sample_tick,pedal2_sample_time_sec,pedal3,pedal3_sample_tick,pedal3_sample_time_sec,pedal4,pedal4_sample_tick,pedal4_sample_time_sec,relative_path,composer,title,folder
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,10,69,1061,1.061,42,341,0.341,6650,6.65,284,0.284,0,6650.0,6.65,0,6721.0,6.721,0,6792.0,6.792,0,6863.0,6.863,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,11,67,284,0.284,41,371,0.371,6934,6.934,281,0.281,0,6934.0,6.934,0,7004.25,7.00425,0,7074.5,7.0745,0,7144.75,7.14475,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,12,65,281,0.281,44,250,0.25,7215,7.215,282,0.282,0,7215.0,7.215,0,7285.5,7.2855,0,7356.0,7.356,0,7426.5,7.4265,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,13,64,282,0.282,41,278,0.278,7497,7.497,273,0.273,0,7497.0,7.497,0,7565.25,7.56525,0,7633.5,7.6335,0,7701.75,7.70175,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,14,65,273,0.273,50,438,0.438,7770,7.77,269,0.269,0,7770.0,7.77,0,7837.25,7.83725,0,7904.5,7.9045,0,7971.75,7.97175,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,15,67,269,0.269,57,720,0.72,8039,8.039,30,0.03,0,8039.0,8.039,0,8046.5,8.0465,0,8054.0,8.054,0,8061.5,8.0615,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,16,64,30,0.03,36,448,0.448,8069,8.069,299,0.299,0,8069.0,8.069,0,8143.75,8.14375,0,8218.5,8.2185,0,8293.25,8.29325,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,17,62,299,0.299,45,293,0.293,8368,8.368,257,0.257,0,8368.0,8.368,0,8432.25,8.43225,0,8496.5,8.4965,0,8560.75,8.56075,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,18,69,257,0.257,65,655,0.655,8625,8.625,29,0.029,0,8625.0,8.625,0,8632.25,8.63225,0,8639.5,8.6395,0,8646.75,8.64675,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,19,60,29,0.029,36,229,0.229,8654,8.654,261,0.261,0,8654.0,8.654,0,8719.25,8.71925,0,8784.5,8.7845,0,8849.75,8.84975,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,20,62,261,0.261,45,387,0.387,8915,8.915,275,0.275,0,8915.0,8.915,0,8983.75,8.98375,0,9052.5,9.0525,0,9121.25,9.12125,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,21,71,275,0.275,71,714,0.714,9190,9.19,14,0.014,0,9190.0,9.19,0,9193.5,9.1935,0,9197.0,9.197,0,9200.5,9.2005,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,22,60,14,0.014,40,345,0.345,9204,9.204,287,0.287,0,9204.0,9.204,0,9275.75,9.27575,0,9347.5,9.3475,0,9419.25,9.41925,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,23,59,287,0.287,44,381,0.381,9491,9.491,312,0.312,0,9491.0,9.491,0,9569.0,9.569,0,9647.0,9.647,0,9725.0,9.725,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,24,72,312,0.312,64,903,0.903,9803,9.803,30,0.03,0,9803.0,9.803,0,9810.5,9.8105,0,9818.0,9.818,0,9825.5,9.8255,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,25,57,30,0.03,47,599,0.599,9833,9.833,594,0.594,0,9833.0,9.833,0,9981.5,9.9815,0,10130.0,10.13,0,10278.5,10.2785,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,26,66,594,0.594,48,762,0.762,10427,10.427,313,0.313,0,10427.0,10.427,0,10505.25,10.50525,0,10583.5,10.5835,0,10661.75,10.66175,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,27,74,313,0.313,48,330,0.33,10740,10.74,147,0.147,0,10740.0,10.74,0,10776.75,10.77675,0,10813.5,10.8135,0,10850.25,10.85025,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,28,72,147,0.147,62,226,0.226,10887,10.887,148,0.148,0,10887.0,10.887,0,10924.0,10.924,0,10961.0,10.961,0,10998.0,10.998,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,29,71,148,0.148,60,766,0.766,11035,11.035,14,0.014,0,11035.0,11.035,0,11038.5,11.0385,0,11042.0,11.042,0,11045.5,11.0455,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,30,67,14,0.014,41,2513,2.513,11049,11.049,579,0.579,0,11049.0,11.049,0,11193.75,11.19375,0,11338.5,11.3385,0,11483.25,11.48325,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,31,76,579,0.579,67,683,0.683,11628,11.628,623,0.623,0,11628.0,11.628,0,11783.75,11.78375,0,11939.5,11.9395,0,12095.25,12.09525,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,32,69,623,0.623,57,922,0.922,12251,12.251,614,0.614,0,12251.0,12.251,0,12404.5,12.4045,0,12558.0,12.558,0,12711.5,12.7115,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,33,74,614,0.614,59,975,0.975,12865,12.865,28,0.028,0,12865.0,12.865,0,12872.0,12.872,0,12879.0,12.879,0,12886.0,12.886,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,34,66,28,0.028,31,318,0.318,12893,12.893,289,0.289,0,12893.0,12.893,0,12965.25,12.96525,0,13037.5,13.0375,0,13109.75,13.10975,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,35,64,289,0.289,37,366,0.366,13182,13.182,321,0.321,0,13182.0,13.182,0,13262.25,13.26225,0,13342.5,13.3425,0,13422.75,13.42275,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,36,66,321,0.321,43,708,0.708,13503,13.503,281,0.281,0,13503.0,13.503,0,13573.25,13.57325,0,13643.5,13.6435,0,13713.75,13.71375,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,37,76,281,0.281,65,349,0.349,13784,13.784,311,0.311,0,13784.0,13.784,0,13861.75,13.86175,0,13939.5,13.9395,0,14017.25,14.01725,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,38,62,311,0.311,35,582,0.582,14095,14.095,3,0.003,0,14095.0,14.095,0,14095.75,14.09575,0,14096.5,14.0965,0,14097.25,14.09725,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,39,74,3,0.003,59,316,0.316,14098,14.098,286,0.286,0,14098.0,14.098,0,14169.5,14.1695,0,14241.0,14.241,0,14312.5,14.3125,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,40,72,286,0.286,56,343,0.343,14384,14.384,328,0.328,0,14384.0,14.384,0,14466.0,14.466,0,14548.0,14.548,0,14630.0,14.63,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,41,71,328,0.328,51,279,0.279,14712,14.712,18,0.018,0,14712.0,14.712,0,14716.5,14.7165,0,14721.0,14.721,0,14725.5,14.7255,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,42,67,18,0.018,32,138,0.138,14730,14.73,286,0.286,0,14730.0,14.73,60,14801.5,14.8015,93,14873.0,14.873,127,14944.5,14.9445,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,43,67,286,0.286,52,385,0.385,15016,15.016,312,0.312,127,15016.0,15.016,127,15094.0,15.094,127,15172.0,15.172,127,15250.0,15.25,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,44,55,312,0.312,58,828,0.828,15328,15.328,21,0.021,111,15328.0,15.328,111,15333.25,15.33325,111,15338.5,15.3385,111,15343.75,15.34375,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,45,69,21,0.021,50,361,0.361,15349,15.349,13,0.013,88,15349.0,15.349,88,15352.25,15.35225,88,15355.5,15.3555,88,15358.75,15.35875,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,46,65,13,0.013,39,147,0.147,15362,15.362,266,0.266,88,15362.0,15.362,37,15428.5,15.4285,68,15495.0,15.495,127,15561.5,15.5615,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,47,71,266,0.266,53,341,0.341,15628,15.628,306,0.306,127,15628.0,15.628,127,15704.5,15.7045,127,15781.0,15.781,127,15857.5,15.8575,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,48,57,306,0.306,69,692,0.692,15934,15.934,4,0.004,127,15934.0,15.934,127,15935.0,15.935,127,15936.0,15.936,127,15937.0,15.937,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,49,72,4,0.004,63,265,0.265,15938,15.938,31,0.031,127,15938.0,15.938,94,15945.75,15.94575,94,15953.5,15.9535,94,15961.25,15.96125,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,50,64,31,0.031,44,189,0.189,15969,15.969,260,0.26,78,15969.0,15.969,37,16034.0,16.034,62,16099.0,16.099,103,16164.0,16.164,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,51,71,260,0.26,58,339,0.339,16229,16.229,314,0.314,127,16229.0,16.229,127,16307.5,16.3075,127,16386.0,16.386,127,16464.5,16.4645,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,52,72,314,0.314,65,336,0.336,16543,16.543,4,0.004,127,16543.0,16.543,127,16544.0,16.544,127,16545.0,16.545,127,16546.0,16.546,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,53,59,4,0.004,70,756,0.756,16547,16.547,23,0.023,127,16547.0,16.547,127,16552.75,16.55275,127,16558.5,16.5585,127,16564.25,16.56425,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,54,62,23,0.023,55,711,0.711,16570,16.57,272,0.272,102,16570.0,16.57,62,16638.0,16.638,40,16706.0,16.706,65,16774.0,16.774,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,55,74,272,0.272,64,365,0.365,16842,16.842,312,0.312,86,16842.0,16.842,92,16920.0,16.92,92,16998.0,16.998,86,17076.0,17.076,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,56,60,312,0.312,73,858,0.858,17154,17.154,4,0.004,80,17154.0,17.154,80,17155.0,17.155,80,17156.0,17.156,80,17157.0,17.157,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,57,76,4,0.004,68,293,0.293,17158,17.158,300,0.3,80,17158.0,17.158,64,17233.0,17.233,46,17308.0,17.308,37,17383.0,17.383,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,58,74,300,0.3,63,349,0.349,17458,17.458,291,0.291,32,17458.0,17.458,0,17530.75,17.53075,0,17603.5,17.6035,0,17676.25,17.67625,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,59,76,291,0.291,68,356,0.356,17749,17.749,268,0.268,0,17749.0,17.749,0,17816.0,17.816,0,17883.0,17.883,0,17950.0,17.95,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,60,78,268,0.268,75,393,0.393,18017,18.017,17,0.017,0,18017.0,18.017,0,18021.25,18.02125,0,18025.5,18.0255,0,18029.75,18.02975,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,61,62,17,0.017,57,362,0.362,18034,18.034,133,0.133,0,18034.0,18.034,0,18067.25,18.06725,0,18100.5,18.1005,0,18133.75,18.13375,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,62,60,133,0.133,68,264,0.264,18167,18.167,155,0.155,0,18167.0,18.167,0,18205.75,18.20575,0,18244.5,18.2445,0,18283.25,18.28325,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,63,79,155,0.155,74,662,0.662,18322,18.322,5,0.005,0,18322.0,18.322,0,18323.25,18.32325,0,18324.5,18.3245,0,18325.75,18.32575,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,64,59,5,0.005,62,773,0.773,18327,18.327,611,0.611,0,18327.0,18.327,0,18479.75,18.47975,0,18632.5,18.6325,0,18785.25,18.78525,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
