file,relative_path,status,error,midi_type,ticks_per_beat,tempo_change_count,note_count,unique_onset_count,ioi_count,cc64_event_count,cc64_channel_distribution,cc64_track_distribution,note_channel_distribution,channel_conflict_count,track_conflict_count,drum_note_count,cc64_events_before_first_onset,cc64_events_at_or_after_last_onset,long_ioi_count_gt_5s,max_ioi_duration_sec,baseline_64_up_count,baseline_64_down_count,baseline_64_transition_count,baseline_64_main_ioi_up_count,baseline_64_main_ioi_down_count,baseline_64_main_ioi_transition_count,baseline_64_transitions_before_first_onset,baseline_64_transitions_at_or_after_last_onset,baseline_64_two_slot_coverage,baseline_64_rapid_reversal_25ms,baseline_64_near_threshold_rapid_25ms,baseline_64_rapid_reversal_50ms,baseline_64_near_threshold_rapid_50ms,baseline_64_rapid_reversal_100ms,baseline_64_near_threshold_rapid_100ms,baseline_64_rapid_reversal_200ms,baseline_64_near_threshold_rapid_200ms,narrow_68_60_up_count,narrow_68_60_down_count,narrow_68_60_transition_count,narrow_68_60_main_ioi_up_count,narrow_68_60_main_ioi_down_count,narrow_68_60_main_ioi_transition_count,narrow_68_60_transitions_before_first_onset,narrow_68_60_transitions_at_or_after_last_onset,narrow_68_60_two_slot_coverage,narrow_68_60_rapid_reversal_25ms,narrow_68_60_near_threshold_rapid_25ms,narrow_68_60_rapid_reversal_50ms,narrow_68_60_near_threshold_rapid_50ms,narrow_68_60_rapid_reversal_100ms,narrow_68_60_near_threshold_rapid_100ms,narrow_68_60_rapid_reversal_200ms,narrow_68_60_near_threshold_rapid_200ms,wide_72_56_up_count,wide_72_56_down_count,wide_72_56_transition_count,wide_72_56_main_ioi_up_count,wide_72_56_main_ioi_down_count,wide_72_56_main_ioi_transition_count,wide_72_56_transitions_before_first_onset,wide_72_56_transitions_at_or_after_last_onset,wide_72_56_two_slot_coverage,wide_72_56_rapid_reversal_25ms,wide_72_56_near_threshold_rapid_25ms,wide_72_56_rapid_reversal_50ms,wide_72_56_near_threshold_rapid_50ms,wide_72_56_rapid_reversal_100ms,wide_72_56_near_threshold_rapid_100ms,wide_72_56_rapid_reversal_200ms,wide_72_56_near_threshold_rapid_200ms,transition_count_0_iois,transition_count_1_iois,transition_count_2_iois,transition_count_3_iois,transition_count_4plus_iois,overflow_ioi_count,overflow_ioi_ratio,same_timestamp_opposite_transition_count,continuously_off_ioi_count,continuously_on_ioi_count,partially_on_ioi_count,ever_on_ioi_count,baseline_rapid_rate_per_1000_iois,baseline_near_threshold_rapid_rate_per_1000_iois,baseline_transition_rate_per_1000_iois,warnings,near_threshold_rate_empirical_p95,transition_rate_empirical_p95,high_near_threshold_crossing_rate,high_transition_rate
3-0.mid,third_party/PianistTransformer/data/midis/testset/human/3-0.mid,analyzed,,0,480,1,510,504,503,2819,"{""0"": 2819}","{""0"": 2819}","{""0"": 510}",0,0,0,8,185,0,1.3034200416666692,97,97,194,95,95,190,1,3,1.0,0,0,1,1,1,1,11,2,96,96,192,94,94,188,1,3,1.0,0,0,0,0,1,1,5,2,91,91,182,89,89,178,1,3,1.0,0,0,0,0,0,0,2,0,361,94,48,0,0,0,0.0,0,181,181,141,322,21.868787276341948,3.9761431411530817,385.6858846918489,cc64_before_first_onset|cc64_at_or_after_last_onset,15.301181483633547,291.93373852610824,False,True
3-1.mid,third_party/PianistTransformer/data/midis/testset/human/3-1.mid,excluded_no_cc64,,1,384,1,524,510,509,0,{},{},"{""0"": 524}",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-2.mid,third_party/PianistTransformer/data/midis/testset/human/3-2.mid,analyzed,,1,384,1,517,514,513,2901,"{""0"": 2901}","{""1"": 2901}","{""0"": 517}",0,0,0,1,48,0,1.4518229166666572,137,137,274,136,137,273,0,1,1.0,0,0,0,0,1,0,24,0,137,137,274,136,137,273,0,1,1.0,0,0,0,0,0,0,9,0,136,136,272,135,136,271,0,1,1.0,0,0,0,0,0,0,1,0,308,137,68,0,0,0,0.0,0,73,236,204,440,46.78362573099415,0.0,534.1130604288498,cc64_before_first_onset|cc64_at_or_after_last_onset,15.301181483633547,291.93373852610824,False,True
3-3.mid,third_party/PianistTransformer/data/midis/testset/human/3-3.mid,analyzed,,1,480,1,516,499,498,3503,"{""0"": 3503}","{""1"": 3503}","{""0"": 516}",0,0,0,1,70,0,1.4979166666666686,159,159,318,157,157,314,1,3,1.0,0,0,0,0,1,0,40,0,158,159,317,157,157,314,1,2,1.0,0,0,0,0,0,0,22,0,158,159,317,157,157,314,1,2,1.0,0,0,0,0,0,0,16,0,308,66,124,0,0,0,0.0,0,16,294,188,482,80.32128514056225,0.0,638.5542168674699,cc64_before_first_onset|cc64_at_or_after_last_onset,15.301181483633547,291.93373852610824,False,True
3-4.mid,third_party/PianistTransformer/data/midis/testset/human/3-4.mid,analyzed,,0,480,1,523,520,519,2816,"{""0"": 2816}","{""0"": 2816}","{""0"": 523}",0,0,0,0,3,0,1.0673087062499746,166,166,332,166,166,332,0,0,1.0,0,0,0,0,0,0,3,0,166,166,332,166,166,332,0,0,1.0,0,0,0,0,0,0,0,0,166,166,332,166,166,332,0,0,1.0,0,0,0,0,0,0,1,0,265,176,78,0,0,0,0.0,0,34,232,253,485,5.780346820809249,0.0,639.6917148362235,cc64_at_or_after_last_onset,15.301181483633547,291.93373852610824,False,True
3-5.mid,third_party/PianistTransformer/data/midis/testset/human/3-5.mid,analyzed,,0,480,1,525,525,524,2624,"{""0"": 2624}","{""0"": 2624}","{""0"": 525}",0,0,0,2,38,0,1.1677361520833358,167,167,334,165,166,331,0,3,1.0,0,0,0,0,0,0,101,0,167,167,334,165,166,331,0,3,1.0,0,0,0,0,0,0,96,0,167,167,334,165,166,331,0,3,1.0,0,0,0,0,0,0,80,0,305,107,112,0,0,0,0.0,0,4,302,218,520,192.74809160305344,0.0,637.4045801526718,cc64_before_first_onset|cc64_at_or_after_last_onset,15.301181483633547,291.93373852610824,False,True
4-0.mid,third_party/PianistTransformer/data/midis/testset/human/4-0.mid,analyzed,,0,384,1,1692,1619,1618,810,"{""0"": 810}","{""0"": 810}","{""0"": 1692}",0,0,0,0,22,0,2.443907812500001,28,28,56,27,27,54,0,2,0.9993819530284301,0,0,0,0,5,2,15,2,26,26,52,25,25,50,0,2,0.9993819530284301,0,0,0,0,3,0,13,1,25,25,50,24,24,48,0,2,0.9993819530284301,0,0,0,0,2,0,11,0,1576,31,10,1,0,1,0.0006180469715698393,0,1543,33,42,75,9.27070457354759,1.2360939431396787,34.610630407911,cc64_at_or_after_last_onset,15.301181483633547,291.93373852610824,False,False
5-0.mid,third_party/PianistTransformer/data/midis/testset/human/5-0.mid,analyzed,,0,384,1,3069,2945,2944,2408,"{""0"": 2408}","{""0"": 2408}","{""0"": 3069}",0,0,0,0,0,0,2.4732881250000105,102,102,204,102,102,204,0,0,0.998641304347826,0,0,2,2,6,6,55,19,88,88,176,88,88,176,0,0,0.998641304347826,0,0,0,0,1,1,45,7,76,76,152,76,76,152,0,0,0.998641304347826,0,0,0,0,1,0,43,0,2773,142,25,4,0,4,0.001358695652173913,0,2466,308,170,478,18.682065217391305,6.453804347826087,69.29347826086956,,15.301181483633547,291.93373852610824,False,False
5-1.mid,third_party/PianistTransformer/data/midis/testset/human/5-1.mid,analyzed,,1,480,1,3062,3002,3001,2168,"{""0"": 2168}","{""1"": 2168}","{""0"": 3062}",0,0,0,0,8,0,2.1794807500000104,152,152,304,152,152,304,0,0,0.9996667777407531,0,0,0,0,4,3,78,3,151,151,302,151,151,302,0,0,0.9996667777407531,0,0,0,0,5,1,75,1,149,149,298,149,149,298,0,0,0.9996667777407531,0,0,0,0,6,0,75,0,2736,227,37,1,0,1,0.0003332222592469177,0,2301,441,259,700,25.99133622125958,0.9996667777407531,101.29956681106297,cc64_at_or_after_last_onset,15.301181483633547,291.93373852610824,False,False
5-2.mid,third_party/PianistTransformer/data/midis/testset/human/5-2.mid,analyzed,,0,384,1,3050,2953,2952,4284,"{""0"": 4284}","{""0"": 4284}","{""0"": 3050}",0,0,0,0,0,0,2.77643953125002,181,181,362,181,181,362,0,0,0.9989837398373984,1,1,17,14,52,28,120,39,164,164,328,164,164,328,0,0,0.9996612466124661,1,1,4,3,35,18,99,24,123,123,246,123,123,246,0,0,0.9996612466124661,0,0,2,0,15,1,64,2,2640,265,44,3,0,3,0.0010162601626016261,0,1628,1018,306,1324,40.65040650406504,13.211382113821138,122.62872628726288,,15.301181483633547,291.93373852610824,False,False
6-0.mid,third_party/PianistTransformer/data/midis/testset/human/6-0.mid,analyzed,,1,384,1,5531,5283,5282,5818,"{""0"": 5818}","{""1"": 5818}","{""0"": 5531}",0,0,0,1,19,0,3.3645833333333712,345,346,691,345,345,690,1,0,0.9977281332828474,5,2,7,2,48,10,184,19,325,326,651,325,325,650,1,0,0.9975388110564181,1,0,4,0,34,1,158,5,314,315,629,314,314,628,1,0,0.9975388110564181,1,0,2,0,31,0,151,0,4746,394,130,12,0,12,0.002271866717152594,0,3489,1267,526,1793,34.835289663006435,3.597122302158273,130.8216584627035,cc64_before_first_onset|cc64_at_or_after_last_onset,15.301181483633547,291.93373852610824,False,False
6-1.mid,third_party/PianistTransformer/data/midis/testset/human/6-1.mid,analyzed,,0,480,1,4122,4017,4016,3251,"{""0"": 3251}","{""0"": 3251}","{""0"": 4122}",0,0,0,8,43,0,4.711533750000001,300,300,600,299,299,598,1,1,0.9962649402390438,2,1,5,2,61,2,170,2,299,299,598,298,298,596,1,1,0.9962649402390438,2,2,4,2,61,2,170,2,297,297,594,296,296,592,1,1,0.9962649402390438,0,0,1,0,56,0,169,0,3540,378,83,6,9,15,0.0037350597609561755,0,1425,2120,471,2591,42.330677290836654,0.49800796812749004,149.402390438247,cc64_before_first_onset|cc64_at_or_after_last_onset,15.301181483633547,291.93373852610824,False,False
6-2.mid,third_party/PianistTransformer/data/midis/testset/human/6-2.mid,analyzed,,0,480,1,4122,4017,4016,3251,"{""0"": 3251}","{""0"": 3251}","{""0"": 4122}",0,0,0,8,43,0,4.711533750000001,300,300,600,299,299,598,1,1,0.9962649402390438,2,1,5,2,61,2,170,2,299,299,598,298,298,596,1,1,0.9962649402390438,2,2,4,2,61,2,170,2,297,297,594,296,296,592,1,1,0.9962649402390438,0,0,1,0,56,0,169,0,3540,378,83,6,9,15,0.0037350597609561755,0,1425,2120,471,2591,42.330677290836654,0.49800796812749004,149.402390438247,cc64_before_first_onset|cc64_at_or_after_last_onset,15.301181483633547,291.93373852610824,False,False
6-3.mid,third_party/PianistTransformer/data/midis/testset/human/6-3.mid,analyzed,,0,480,1,4122,4017,4016,3251,"{""0"": 3251}","{""0"": 3251}","{""0"": 4122}",0,0,0,8,43,0,4.711533750000001,300,300,600,299,299,598,1,1,0.9962649402390438,2,1,5,2,61,2,170,2,299,299,598,298,298,596,1,1,0.9962649402390438,2,2,4,2,61,2,170,2,297,297,594,296,296,592,1,1,0.9962649402390438,0,0,1,0,56,0,169,0,3540,378,83,6,9,15,0.0037350597609561755,0,1425,2120,471,2591,42.330677290836654,0.49800796812749004,149.402390438247,cc64_before_first_onset|cc64_at_or_after_last_onset,15.301181483633547,291.93373852610824,False,False
6-4.mid,third_party/PianistTransformer/data/midis/testset/human/6-4.mid,analyzed,,0,480,1,4122,4017,4016,3251,"{""0"": 3251}","{""0"": 3251}","{""0"": 4122}",0,0,0,8,43,0,4.711533750000001,300,300,600,299,299,598,1,1,0.9962649402390438,2,1,5,2,61,2,170,2,299,299,598,298,298,596,1,1,0.9962649402390438,2,2,4,2,61,2,170,2,297,297,594,296,296,592,1,1,0.9962649402390438,0,0,1,0,56,0,169,0,3540,378,83,6,9,15,0.0037350597609561755,0,1425,2120,471,2591,42.330677290836654,0.49800796812749004,149.402390438247,cc64_before_first_onset|cc64_at_or_after_last_onset,15.301181483633547,291.93373852610824,False,False
6-5.mid,third_party/PianistTransformer/data/midis/testset/human/6-5.mid,analyzed,,0,384,1,4114,3981,3980,4272,"{""0"": 4272}","{""0"": 4272}","{""0"": 4114}",0,0,0,8,179,0,3.6137784375000024,292,292,584,290,290,580,1,3,0.9962311557788944,0,0,2,1,45,3,176,3,291,291,582,289,289,578,1,3,0.9964824120603015,0,0,1,1,43,1,172,2,290,290,580,289,289,578,1,1,0.9967336683417085,0,0,0,0,35,0,170,0,3514,377,74,5,10,15,0.0037688442211055275,0,1758,1766,456,2222,44.221105527638194,0.7537688442211056,146.73366834170855,cc64_before_first_onset|cc64_at_or_after_last_onset,15.301181483633547,291.93373852610824,False,False
6-6.mid,third_party/PianistTransformer/data/midis/testset/human/6-6.mid,analyzed,,0,384,1,4114,3981,3980,4272,"{""0"": 4272}","{""0"": 4272}","{""0"": 4114}",0,0,0,8,179,0,3.6137784375000024,292,292,584,290,290,580,1,3,0.9962311557788944,0,0,2,1,45,3,176,3,291,291,582,289,289,578,1,3,0.9964824120603015,0,0,1,1,43,1,172,2,290,290,580,289,289,578,1,1,0.9967336683417085,0,0,0,0,35,0,170,0,3514,377,74,5,10,15,0.0037688442211055275,0,1758,1766,456,2222,44.221105527638194,0.7537688442211056,146.73366834170855,cc64_before_first_onset|cc64_at_or_after_last_onset,15.301181483633547,291.93373852610824,False,False
6-7.mid,third_party/PianistTransformer/data/midis/testset/human/6-7.mid,analyzed,,0,384,1,4114,3981,3980,4272,"{""0"": 4272}","{""0"": 4272}","{""0"": 4114}",0,0,0,8,179,0,3.6137784375000024,292,292,584,290,290,580,1,3,0.9962311557788944,0,0,2,1,45,3,176,3,291,291,582,289,289,578,1,3,0.9964824120603015,0,0,1,1,43,1,172,2,290,290,580,289,289,578,1,1,0.9967336683417085,0,0,0,0,35,0,170,0,3514,377,74,5,10,15,0.0037688442211055275,0,1758,1766,456,2222,44.221105527638194,0.7537688442211056,146.73366834170855,cc64_before_first_onset|cc64_at_or_after_last_onset,15.301181483633547,291.93373852610824,False,False
6-8.mid,third_party/PianistTransformer/data/midis/testset/human/6-8.mid,analyzed,,0,384,1,4114,3981,3980,4272,"{""0"": 4272}","{""0"": 4272}","{""0"": 4114}",0,0,0,8,179,0,3.6137784375000024,292,292,584,290,290,580,1,3,0.9962311557788944,0,0,2,1,45,3,176,3,291,291,582,289,289,578,1,3,0.9964824120603015,0,0,1,1,43,1,172,2,290,290,580,289,289,578,1,1,0.9967336683417085,0,0,0,0,35,0,170,0,3514,377,74,5,10,15,0.0037688442211055275,0,1758,1766,456,2222,44.221105527638194,0.7537688442211056,146.73366834170855,cc64_before_first_onset|cc64_at_or_after_last_onset,15.301181483633547,291.93373852610824,False,False
6-9.mid,third_party/PianistTransformer/data/midis/testset/human/6-9.mid,analyzed,,0,384,1,4114,3981,3980,4272,"{""0"": 4272}","{""0"": 4272}","{""0"": 4114}",0,0,0,8,179,0,3.6137784375000024,292,292,584,290,290,580,1,3,0.9962311557788944,0,0,2,1,45,3,176,3,291,291,582,289,289,578,1,3,0.9964824120603015,0,0,1,1,43,1,172,2,290,290,580,289,289,578,1,1,0.9967336683417085,0,0,0,0,35,0,170,0,3514,377,74,5,10,15,0.0037688442211055275,0,1758,1766,456,2222,44.221105527638194,0.7537688442211056,146.73366834170855,cc64_before_first_onset|cc64_at_or_after_last_onset,15.301181483633547,291.93373852610824,False,False
6-10.mid,third_party/PianistTransformer/data/midis/testset/human/6-10.mid,analyzed,,1,384,1,5311,5164,5163,10508,"{""0"": 10508}","{""1"": 10508}","{""0"": 5311}",0,0,0,21,22,0,3.4010416666666856,330,330,660,329,329,658,1,1,0.9980631415843502,4,4,18,18,80,48,213,79,276,276,552,275,275,550,1,1,0.9984505132674801,0,0,1,1,41,8,139,26,234,235,469,234,234,468,1,0,0.9986441991090451,0,0,0,0,27,0,98,0,4620,442,91,6,4,10,0.001936858415649816,0,3110,1517,536,2053,41.25508425334108,15.301181483633547,127.83265543288786,cc64_before_first_onset|cc64_at_or_after_last_onset,15.301181483633547,291.93373852610824,True,False
6-11.mid,third_party/PianistTransformer/data/midis/testset/human/6-11.mid,analyzed,,1,384,1,5311,5164,5163,10508,"{""0"": 10508}","{""1"": 10508}","{""0"": 5311}",0,0,0,21,22,0,3.4010416666666856,330,330,660,329,329,658,1,1,0.9980631415843502,4,4,18,18,80,48,213,79,276,276,552,275,275,550,1,1,0.9984505132674801,0,0,1,1,41,8,139,26,234,235,469,234,234,468,1,0,0.9986441991090451,0,0,0,0,27,0,98,0,4620,442,91,6,4,10,0.001936858415649816,0,3110,1517,536,2053,41.25508425334108,15.301181483633547,127.83265543288786,cc64_before_first_onset|cc64_at_or_after_last_onset,15.301181483633547,291.93373852610824,True,False
6-12.mid,third_party/PianistTransformer/data/midis/testset/human/6-12.mid,analyzed,,1,384,1,5311,5164,5163,10508,"{""0"": 10508}","{""1"": 10508}","{""0"": 5311}",0,0,0,21,22,0,3.4010416666666856,330,330,660,329,329,658,1,1,0.9980631415843502,4,4,18,18,80,48,213,79,276,276,552,275,275,550,1,1,0.9984505132674801,0,0,1,1,41,8,139,26,234,235,469,234,234,468,1,0,0.9986441991090451,0,0,0,0,27,0,98,0,4620,442,91,6,4,10,0.001936858415649816,0,3110,1517,536,2053,41.25508425334108,15.301181483633547,127.83265543288786,cc64_before_first_onset|cc64_at_or_after_last_onset,15.301181483633547,291.93373852610824,True,False
6-13.mid,third_party/PianistTransformer/data/midis/testset/human/6-13.mid,analyzed,,1,384,1,5311,5164,5163,10508,"{""0"": 10508}","{""1"": 10508}","{""0"": 5311}",0,0,0,21,22,0,3.4010416666666856,330,330,660,329,329,658,1,1,0.9980631415843502,4,4,18,18,80,48,213,79,276,276,552,275,275,550,1,1,0.9984505132674801,0,0,1,1,41,8,139,26,234,235,469,234,234,468,1,0,0.9986441991090451,0,0,0,0,27,0,98,0,4620,442,91,6,4,10,0.001936858415649816,0,3110,1517,536,2053,41.25508425334108,15.301181483633547,127.83265543288786,cc64_before_first_onset|cc64_at_or_after_last_onset,15.301181483633547,291.93373852610824,True,False
6-14.mid,third_party/PianistTransformer/data/midis/testset/human/6-14.mid,analyzed,,1,384,1,5311,5164,5163,10508,"{""0"": 10508}","{""1"": 10508}","{""0"": 5311}",0,0,0,21,22,0,3.4010416666666856,330,330,660,329,329,658,1,1,0.9980631415843502,4,4,18,18,80,48,213,79,276,276,552,275,275,550,1,1,0.9984505132674801,0,0,1,1,41,8,139,26,234,235,469,234,234,468,1,0,0.9986441991090451,0,0,0,0,27,0,98,0,4620,442,91,6,4,10,0.001936858415649816,0,3110,1517,536,2053,41.25508425334108,15.301181483633547,127.83265543288786,cc64_before_first_onset|cc64_at_or_after_last_onset,15.301181483633547,291.93373852610824,True,False
